Time,Time (ms),Time (delay corrected), C, R, AVG,Baseline corrected
0.0001,0.1,-14.9,-1.47E-06,-1.48E-06,-1.48E-06,0.00E+00
0.0002,0.2,-14.8,-1.45E-06,-1.47E-06,-1.46E-06,1.51E-08
0.0003,0.3,-14.7,-1.45E-06,-1.46E-06,-1.46E-06,2.05E-08
0.0004,0.4,-14.6,-1.46E-06,-1.46E-06,-1.46E-06,1.63E-08
0.0005,0.5,-14.5,-1.46E-06,-1.46E-06,-1.46E-06,1.74E-08
0.0006,0.6,-14.4,-1.46E-06,-1.46E-06,-1.46E-06,2.05E-08
0.0007,0.7,-14.3,-1.45E-06,-1.46E-06,-1.45E-06,2.52E-08
0.0008,0.8,-14.2,-1.44E-06,-1.46E-06,-1.45E-06,2.95E-08
0.0009,0.9,-14.1,-1.43E-06,-1.46E-06,-1.44E-06,3.33E-08
0.001,0.9999999,-14.0000001,-1.43E-06,-1.45E-06,-1.44E-06,3.91E-08
0.0011,1.1,-13.9,-1.43E-06,-1.42E-06,-1.42E-06,5.61E-08
0.0012,1.2,-13.8,-1.41E-06,-1.37E-06,-1.39E-06,8.60E-08
0.0013,1.3,-13.7,-1.39E-06,-1.34E-06,-1.36E-06,1.17E-07
0.0014,1.4,-13.6,-1.37E-06,-1.31E-06,-1.34E-06,1.36E-07
0.0015,1.5,-13.5,-1.37E-06,-1.30E-06,-1.34E-06,1.42E-07
0.0016,1.6,-13.4,-1.38E-06,-1.29E-06,-1.33E-06,1.45E-07
0.0017,1.7,-13.3,-1.38E-06,-1.28E-06,-1.33E-06,1.50E-07
0.0018,1.8,-13.2,-1.36E-06,-1.28E-06,-1.32E-06,1.59E-07
0.0019,1.9,-13.1,-1.33E-06,-1.30E-06,-1.31E-06,1.65E-07
0.002,2,-13,-1.32E-06,-1.30E-06,-1.31E-06,1.68E-07
0.0021,2.1,-12.9,-1.32E-06,-1.31E-06,-1.31E-06,1.65E-07
0.0022,2.2,-12.8,-1.33E-06,-1.30E-06,-1.31E-06,1.64E-07
0.0023,2.3,-12.7,-1.32E-06,-1.29E-06,-1.30E-06,1.75E-07
0.0024,2.4,-12.6,-1.29E-06,-1.27E-06,-1.28E-06,2.01E-07
0.0025,2.5,-12.5,-1.27E-06,-1.24E-06,-1.26E-06,2.22E-07
0.0026,2.6,-12.4,-1.29E-06,-1.24E-06,-1.26E-06,2.16E-07
0.0027,2.7,-12.3,-1.32E-06,-1.24E-06,-1.28E-06,1.93E-07
0.0028,2.8,-12.2,-1.34E-06,-1.25E-06,-1.30E-06,1.81E-07
0.0029,2.9,-12.1,-1.35E-06,-1.24E-06,-1.29E-06,1.83E-07
0.003,3,-12,-1.35E-06,-1.23E-06,-1.29E-06,1.87E-07
0.0031,3.1,-11.9,-1.36E-06,-1.24E-06,-1.30E-06,1.79E-07
0.0032,3.2,-11.8,-1.36E-06,-1.26E-06,-1.31E-06,1.64E-07
0.0033,3.3,-11.7,-1.37E-06,-1.28E-06,-1.33E-06,1.51E-07
0.0034,3.4,-11.6,-1.37E-06,-1.28E-06,-1.32E-06,1.55E-07
0.0035,3.5,-11.5,-1.36E-06,-1.27E-06,-1.31E-06,1.64E-07
0.0036,3.6,-11.4,-1.36E-06,-1.27E-06,-1.31E-06,1.63E-07
0.0037,3.7,-11.3,-1.38E-06,-1.29E-06,-1.33E-06,1.46E-07
0.0038,3.8,-11.2,-1.39E-06,-1.32E-06,-1.35E-06,1.25E-07
0.0039,3.9,-11.1,-1.40E-06,-1.34E-06,-1.37E-06,1.09E-07
0.004,4,-11,-1.40E-06,-1.36E-06,-1.38E-06,9.74E-08
0.0041,4.1,-10.9,-1.42E-06,-1.36E-06,-1.39E-06,8.74E-08
0.0042,4.2,-10.8,-1.44E-06,-1.34E-06,-1.39E-06,8.70E-08
0.0043,4.3,-10.7,-1.45E-06,-1.32E-06,-1.39E-06,9.24E-08
0.0044,4.4,-10.6,-1.44E-06,-1.32E-06,-1.38E-06,9.79E-08
0.0045,4.5,-10.5,-1.43E-06,-1.32E-06,-1.38E-06,1.02E-07
0.0046,4.6,-10.4,-1.42E-06,-1.32E-06,-1.37E-06,1.05E-07
0.0047,4.7,-10.3,-1.43E-06,-1.32E-06,-1.38E-06,1.01E-07
0.0048,4.8,-10.2,-1.45E-06,-1.34E-06,-1.39E-06,8.32E-08
0.0049,4.9,-10.1,-1.46E-06,-1.37E-06,-1.41E-06,6.49E-08
0.005,5,-10,-1.44E-06,-1.37E-06,-1.41E-06,7.09E-08
0.0051,5.1,-9.9,-1.42E-06,-1.35E-06,-1.38E-06,9.47E-08
0.0052,5.2,-9.8,-1.39E-06,-1.31E-06,-1.35E-06,1.26E-07
0.0053,5.3,-9.7,-1.38E-06,-1.28E-06,-1.33E-06,1.48E-07
0.0054,5.4,-9.6,-1.36E-06,-1.26E-06,-1.31E-06,1.69E-07
0.0055,5.5,-9.5,-1.33E-06,-1.26E-06,-1.29E-06,1.85E-07
0.0056,5.6,-9.4,-1.30E-06,-1.26E-06,-1.28E-06,1.97E-07
0.0057,5.7,-9.3,-1.30E-06,-1.26E-06,-1.28E-06,2.00E-07
0.0058,5.8,-9.2,-1.29E-06,-1.25E-06,-1.27E-06,2.07E-07
0.0059,5.9,-9.1,-1.29E-06,-1.24E-06,-1.26E-06,2.14E-07
0.006,6,-9,-1.28E-06,-1.24E-06,-1.26E-06,2.21E-07
0.0061,6.1,-8.9,-1.27E-06,-1.24E-06,-1.25E-06,2.26E-07
0.0062,6.2,-8.8,-1.26E-06,-1.23E-06,-1.25E-06,2.32E-07
0.0063,6.3,-8.7,-1.23E-06,-1.24E-06,-1.24E-06,2.38E-07
0.0064,6.4,-8.6,-1.21E-06,-1.27E-06,-1.24E-06,2.36E-07
0.0065,6.5,-8.5,-1.19E-06,-1.30E-06,-1.25E-06,2.30E-07
0.0066,6.6,-8.4,-1.18E-06,-1.32E-06,-1.25E-06,2.30E-07
0.0067,6.7,-8.3,-1.17E-06,-1.32E-06,-1.25E-06,2.31E-07
0.0068,6.8,-8.2,-1.18E-06,-1.32E-06,-1.25E-06,2.25E-07
0.0069,6.9,-8.1,-1.19E-06,-1.34E-06,-1.27E-06,2.12E-07
0.007,7,-8,-1.19E-06,-1.35E-06,-1.27E-06,2.12E-07
0.0071,7.1,-7.9,-1.15E-06,-1.35E-06,-1.25E-06,2.24E-07
0.0072,7.2,-7.8,-1.12E-06,-1.38E-06,-1.25E-06,2.29E-07
0.0073,7.3,-7.7,-1.10E-06,-1.42E-06,-1.26E-06,2.18E-07
0.0074,7.4,-7.6,-1.08E-06,-1.46E-06,-1.27E-06,2.08E-07
0.0075,7.5,-7.5,-1.05E-06,-1.49E-06,-1.27E-06,2.07E-07
0.0076,7.6,-7.4,-1.03E-06,-1.50E-06,-1.27E-06,2.10E-07
0.0077,7.7,-7.3,-1.02E-06,-1.52E-06,-1.27E-06,2.03E-07
0.0078,7.8,-7.2,-1.04E-06,-1.53E-06,-1.29E-06,1.91E-07
0.0079,7.9,-7.1,-1.06E-06,-1.54E-06,-1.30E-06,1.76E-07
0.007999999,7.999999,-7.000001,-1.09E-06,-1.54E-06,-1.31E-06,1.63E-07
0.0081,8.1,-6.9,-1.11E-06,-1.55E-06,-1.33E-06,1.48E-07
0.0082,8.2,-6.8,-1.13E-06,-1.56E-06,-1.35E-06,1.30E-07
0.0083,8.3,-6.7,-1.16E-06,-1.58E-06,-1.37E-06,1.06E-07
0.0084,8.4,-6.6,-1.18E-06,-1.58E-06,-1.38E-06,9.40E-08
0.0085,8.5,-6.5,-1.20E-06,-1.59E-06,-1.39E-06,8.26E-08
0.008599999,8.599999,-6.400001,-1.20E-06,-1.59E-06,-1.40E-06,7.99E-08
0.0087,8.7,-6.3,-1.23E-06,-1.59E-06,-1.41E-06,6.72E-08
0.0088,8.8,-6.2,-1.26E-06,-1.59E-06,-1.42E-06,5.55E-08
0.0089,8.9,-6.1,-1.29E-06,-1.59E-06,-1.44E-06,3.83E-08
0.009,9,-6,-1.32E-06,-1.60E-06,-1.46E-06,1.55E-08
0.009099999,9.099999,-5.900001,-1.35E-06,-1.62E-06,-1.49E-06,-7.83E-09
0.0092,9.2,-5.8,-1.37E-06,-1.64E-06,-1.51E-06,-2.83E-08
0.0093,9.3,-5.7,-1.38E-06,-1.66E-06,-1.52E-06,-4.44E-08
0.0094,9.4,-5.6,-1.40E-06,-1.67E-06,-1.54E-06,-5.76E-08
0.0095,9.5,-5.5,-1.42E-06,-1.66E-06,-1.54E-06,-6.55E-08
0.0096,9.6,-5.4,-1.45E-06,-1.66E-06,-1.56E-06,-7.75E-08
0.009699999,9.699999,-5.300001,-1.46E-06,-1.66E-06,-1.56E-06,-8.63E-08
0.0098,9.8,-5.2,-1.47E-06,-1.67E-06,-1.57E-06,-9.22E-08
0.0099,9.9,-5.1,-1.46E-06,-1.67E-06,-1.56E-06,-8.64E-08
0.01,10,-5,-1.45E-06,-1.66E-06,-1.55E-06,-7.50E-08
0.0101,10.1,-4.9,-1.45E-06,-1.64E-06,-1.54E-06,-6.32E-08
0.0102,10.2,-4.8,-1.44E-06,-1.62E-06,-1.53E-06,-5.50E-08
0.0103,10.3,-4.7,-1.44E-06,-1.63E-06,-1.53E-06,-5.65E-08
0.0104,10.4,-4.6,-1.44E-06,-1.63E-06,-1.54E-06,-5.91E-08
0.0105,10.5,-4.5,-1.44E-06,-1.63E-06,-1.54E-06,-6.00E-08
0.0106,10.6,-4.4,-1.46E-06,-1.63E-06,-1.54E-06,-6.43E-08
0.0107,10.7,-4.3,-1.46E-06,-1.64E-06,-1.55E-06,-6.90E-08
0.0108,10.8,-4.2,-1.45E-06,-1.64E-06,-1.55E-06,-6.91E-08
0.0109,10.9,-4.1,-1.44E-06,-1.64E-06,-1.54E-06,-6.50E-08
0.011,11,-4,-1.45E-06,-1.64E-06,-1.54E-06,-6.53E-08
0.0111,11.1,-3.9,-1.45E-06,-1.64E-06,-1.54E-06,-6.64E-08
0.0112,11.2,-3.8,-1.43E-06,-1.63E-06,-1.53E-06,-5.39E-08
0.0113,11.3,-3.7,-1.40E-06,-1.62E-06,-1.51E-06,-3.54E-08
0.0114,11.4,-3.6,-1.38E-06,-1.60E-06,-1.49E-06,-1.67E-08
0.0115,11.5,-3.5,-1.39E-06,-1.58E-06,-1.49E-06,-7.53E-09
0.0116,11.6,-3.4,-1.40E-06,-1.55E-06,-1.48E-06,-1.18E-09
0.0117,11.7,-3.3,-1.41E-06,-1.55E-06,-1.48E-06,8.71E-10
0.0118,11.8,-3.2,-1.39E-06,-1.55E-06,-1.47E-06,4.26E-09
0.0119,11.9,-3.1,-1.37E-06,-1.55E-06,-1.46E-06,1.52E-08
0.012,12,-3,-1.34E-06,-1.55E-06,-1.44E-06,3.34E-08
0.0121,12.1,-2.9,-1.32E-06,-1.53E-06,-1.43E-06,5.10E-08
0.0122,12.2,-2.8,-1.32E-06,-1.52E-06,-1.42E-06,5.77E-08
0.0123,12.3,-2.7,-1.33E-06,-1.51E-06,-1.42E-06,5.49E-08
0.0124,12.4,-2.6,-1.34E-06,-1.52E-06,-1.43E-06,5.10E-08
0.0125,12.5,-2.5,-1.34E-06,-1.51E-06,-1.43E-06,5.09E-08
0.0126,12.6,-2.4,-1.34E-06,-1.53E-06,-1.43E-06,4.38E-08
0.0127,12.7,-2.3,-1.33E-06,-1.55E-06,-1.44E-06,3.42E-08
0.0128,12.8,-2.2,-1.31E-06,-1.59E-06,-1.45E-06,2.76E-08
0.0129,12.9,-2.1,-1.29E-06,-1.60E-06,-1.45E-06,3.16E-08
0.013,13,-2,-1.27E-06,-1.59E-06,-1.43E-06,4.58E-08
0.0131,13.1,-1.9,-1.25E-06,-1.58E-06,-1.42E-06,6.19E-08
0.0132,13.2,-1.8,-1.22E-06,-1.57E-06,-1.40E-06,8.16E-08
0.0133,13.3,-1.7,-1.19E-06,-1.56E-06,-1.38E-06,9.93E-08
0.0134,13.4,-1.6,-1.16E-06,-1.56E-06,-1.36E-06,1.15E-07
0.0135,13.5,-1.5,-1.14E-06,-1.56E-06,-1.35E-06,1.29E-07
0.0136,13.6,-1.4,-1.11E-06,-1.55E-06,-1.33E-06,1.45E-07
0.0137,13.7,-1.3,-1.10E-06,-1.53E-06,-1.32E-06,1.62E-07
0.0138,13.8,-1.2,-1.09E-06,-1.52E-06,-1.31E-06,1.70E-07
0.0139,13.9,-1.1,-1.11E-06,-1.51E-06,-1.31E-06,1.67E-07
0.014,14,-1,-1.12E-06,-1.49E-06,-1.31E-06,1.72E-07
0.0141,14.1,-0.9,-1.12E-06,-1.47E-06,-1.30E-06,1.79E-07
0.0142,14.2,-0.8,-1.12E-06,-1.47E-06,-1.30E-06,1.80E-07
0.0143,14.3,-0.7,-1.12E-06,-1.49E-06,-1.31E-06,1.71E-07
0.0144,14.4,-0.6,-1.12E-06,-1.49E-06,-1.31E-06,1.71E-07
0.0145,14.5,-0.5,-1.10E-06,-1.48E-06,-1.29E-06,1.85E-07
0.0146,14.6,-0.4,-1.08E-06,-1.47E-06,-1.28E-06,1.97E-07
0.0147,14.7,-0.3,-1.07E-06,-1.48E-06,-1.27E-06,2.04E-07
0.0148,14.8,-0.2,-1.07E-06,-1.47E-06,-1.28E-06,2.02E-07
0.0149,14.9,-0.1,-1.09E-06,-1.46E-06,-1.28E-06,2.01E-07
0.015,15,0,-1.09E-06,-1.46E-06,-1.28E-06,2.01E-07
0.0151,15.1,0.1,-1.06E-06,-1.48E-06,-1.27E-06,2.07E-07
0.0152,15.2,0.2,-1.03E-06,-1.50E-06,-1.27E-06,2.13E-07
0.0153,15.3,0.3,-9.90E-07,-1.51E-06,-1.25E-06,2.24E-07
0.0154,15.4,0.4,-9.57E-07,-1.51E-06,-1.24E-06,2.42E-07
0.0155,15.5,0.5,-9.37E-07,-1.50E-06,-1.22E-06,2.58E-07
0.0156,15.6,0.6,-9.42E-07,-1.49E-06,-1.22E-06,2.58E-07
0.0157,15.7,0.7,-9.63E-07,-1.50E-06,-1.23E-06,2.46E-07
0.0158,15.8,0.8,-9.82E-07,-1.52E-06,-1.25E-06,2.25E-07
0.0159,15.9,0.9,-9.85E-07,-1.54E-06,-1.26E-06,2.14E-07
0.016,16,1,-9.80E-07,-1.54E-06,-1.26E-06,2.14E-07
0.0161,16.1,1.1,-9.58E-07,-1.53E-06,-1.25E-06,2.29E-07
0.0162,16.2,1.2,-9.35E-07,-1.51E-06,-1.23E-06,2.52E-07
0.0163,16.3,1.3,-9.15E-07,-1.49E-06,-1.20E-06,2.74E-07
0.0164,16.4,1.4,-9.09E-07,-1.46E-06,-1.18E-06,2.93E-07
0.0165,16.5,1.5,-9.04E-07,-1.43E-06,-1.17E-06,3.09E-07
0.0166,16.6,1.6,-9.07E-07,-1.41E-06,-1.16E-06,3.15E-07
0.0167,16.7,1.7,-9.06E-07,-1.42E-06,-1.16E-06,3.15E-07
0.0168,16.8,1.8,-9.08E-07,-1.42E-06,-1.16E-06,3.13E-07
0.0169,16.9,1.9,-9.00E-07,-1.40E-06,-1.15E-06,3.24E-07
0.017,17,2,-8.90E-07,-1.39E-06,-1.14E-06,3.37E-07
0.0171,17.1,2.1,-8.75E-07,-1.37E-06,-1.13E-06,3.51E-07
0.0172,17.2,2.2,-8.59E-07,-1.37E-06,-1.12E-06,3.62E-07
0.0173,17.3,2.3,-8.52E-07,-1.36E-06,-1.11E-06,3.72E-07
0.0174,17.4,2.4,-8.49E-07,-1.35E-06,-1.10E-06,3.76E-07
0.0175,17.5,2.5,-8.42E-07,-1.36E-06,-1.10E-06,3.78E-07
0.0176,17.6,2.6,-8.32E-07,-1.37E-06,-1.10E-06,3.76E-07
0.0177,17.7,2.7,-8.24E-07,-1.38E-06,-1.10E-06,3.73E-07
0.0178,17.8,2.8,-8.10E-07,-1.40E-06,-1.11E-06,3.72E-07
0.0179,17.9,2.9,-7.77E-07,-1.42E-06,-1.10E-06,3.76E-07
0.018,18,3,-7.45E-07,-1.45E-06,-1.10E-06,3.79E-07
0.0181,18.1,3.1,-7.24E-07,-1.47E-06,-1.10E-06,3.79E-07
0.0182,18.2,3.2,-7.16E-07,-1.49E-06,-1.11E-06,3.72E-07
0.0183,18.3,3.3,-7.06E-07,-1.50E-06,-1.11E-06,3.70E-07
0.0184,18.4,3.4,-6.89E-07,-1.51E-06,-1.10E-06,3.74E-07
0.0185,18.5,3.5,-6.77E-07,-1.51E-06,-1.09E-06,3.84E-07
0.0186,18.6,3.6,-6.65E-07,-1.49E-06,-1.08E-06,3.98E-07
0.0187,18.7,3.7,-6.51E-07,-1.47E-06,-1.06E-06,4.14E-07
0.0188,18.8,3.8,-6.43E-07,-1.47E-06,-1.06E-06,4.21E-07
0.0189,18.9,3.9,-6.53E-07,-1.47E-06,-1.06E-06,4.13E-07
0.019,19,4,-6.71E-07,-1.48E-06,-1.08E-06,3.98E-07
0.0191,19.1,4.1,-6.66E-07,-1.50E-06,-1.08E-06,3.94E-07
0.0192,19.2,4.2,-6.40E-07,-1.50E-06,-1.07E-06,4.04E-07
0.0193,19.3,4.3,-6.23E-07,-1.50E-06,-1.06E-06,4.14E-07
0.0194,19.4,4.4,-6.24E-07,-1.48E-06,-1.06E-06,4.21E-07
0.0195,19.5,4.5,-6.37E-07,-1.47E-06,-1.06E-06,4.19E-07
0.0196,19.6,4.6,-6.50E-07,-1.47E-06,-1.06E-06,4.16E-07
0.0197,19.7,4.7,-6.63E-07,-1.46E-06,-1.07E-06,4.11E-07
0.0198,19.8,4.8,-6.84E-07,-1.45E-06,-1.07E-06,4.07E-07
0.0199,19.9,4.9,-7.09E-07,-1.44E-06,-1.08E-06,4.02E-07
0.02,20,5,-7.20E-07,-1.42E-06,-1.07E-06,4.04E-07
0.0201,20.1,5.1,-7.01E-07,-1.42E-06,-1.06E-06,4.16E-07
0.0202,20.2,5.2,-6.61E-07,-1.41E-06,-1.04E-06,4.38E-07
0.0203,20.3,5.3,-6.36E-07,-1.40E-06,-1.02E-06,4.56E-07
0.0204,20.4,5.4,-6.29E-07,-1.39E-06,-1.01E-06,4.67E-07
0.0205,20.5,5.5,-6.21E-07,-1.37E-06,-9.98E-07,4.80E-07
0.0206,20.6,5.6,-5.95E-07,-1.37E-06,-9.85E-07,4.92E-07
0.0207,20.7,5.7,-5.78E-07,-1.37E-06,-9.76E-07,5.02E-07
0.0208,20.8,5.8,-5.91E-07,-1.38E-06,-9.85E-07,4.92E-07
0.0209,20.9,5.9,-6.05E-07,-1.37E-06,-9.89E-07,4.88E-07
0.021,21,6,-5.98E-07,-1.37E-06,-9.87E-07,4.90E-07
0.0211,21.1,6.1,-5.69E-07,-1.37E-06,-9.70E-07,5.07E-07
0.0212,21.2,6.2,-5.48E-07,-1.36E-06,-9.54E-07,5.23E-07
0.0213,21.3,6.3,-5.34E-07,-1.34E-06,-9.37E-07,5.40E-07
0.0214,21.4,6.4,-5.24E-07,-1.32E-06,-9.22E-07,5.55E-07
0.0215,21.5,6.5,-5.20E-07,-1.30E-06,-9.13E-07,5.65E-07
0.0216,21.6,6.6,-5.34E-07,-1.29E-06,-9.13E-07,5.65E-07
0.0217,21.7,6.7,-5.53E-07,-1.27E-06,-9.16E-07,5.61E-07
0.0218,21.8,6.8,-5.75E-07,-1.27E-06,-9.26E-07,5.51E-07
0.0219,21.9,6.9,-5.92E-07,-1.27E-06,-9.33E-07,5.45E-07
0.022,22,7,-6.03E-07,-1.25E-06,-9.30E-07,5.48E-07
0.0221,22.1,7.1,-6.00E-07,-1.22E-06,-9.11E-07,5.67E-07
0.0222,22.2,7.2,-5.90E-07,-1.18E-06,-8.88E-07,5.89E-07
0.0223,22.3,7.3,-5.79E-07,-1.16E-06,-8.71E-07,6.06E-07
0.0224,22.4,7.4,-5.77E-07,-1.14E-06,-8.61E-07,6.17E-07
0.0225,22.5,7.5,-5.78E-07,-1.13E-06,-8.54E-07,6.24E-07
0.0226,22.6,7.6,-5.78E-07,-1.12E-06,-8.52E-07,6.25E-07
0.0227,22.7,7.7,-5.66E-07,-1.14E-06,-8.53E-07,6.25E-07
0.0228,22.8,7.8,-5.51E-07,-1.16E-06,-8.55E-07,6.22E-07
0.0229,22.9,7.9,-5.36E-07,-1.17E-06,-8.57E-07,6.20E-07
0.023,23,8,-5.25E-07,-1.20E-06,-8.65E-07,6.13E-07
0.0231,23.1,8.1,-5.16E-07,-1.22E-06,-8.69E-07,6.09E-07
0.0232,23.2,8.2,-5.20E-07,-1.23E-06,-8.76E-07,6.01E-07
0.0233,23.3,8.3,-5.34E-07,-1.23E-06,-8.82E-07,5.95E-07
0.0234,23.4,8.4,-5.61E-07,-1.23E-06,-8.99E-07,5.78E-07
0.0235,23.5,8.5,-5.92E-07,-1.24E-06,-9.19E-07,5.58E-07
0.0236,23.6,8.6,-6.20E-07,-1.25E-06,-9.36E-07,5.41E-07
0.0237,23.7,8.7,-6.45E-07,-1.26E-06,-9.53E-07,5.24E-07
0.0238,23.8,8.8,-6.49E-07,-1.27E-06,-9.63E-07,5.15E-07
0.0239,23.9,8.9,-6.39E-07,-1.29E-06,-9.68E-07,5.10E-07
0.024,24,9,-6.25E-07,-1.32E-06,-9.73E-07,5.05E-07
0.0241,24.1,9.1,-6.38E-07,-1.35E-06,-9.98E-07,4.80E-07
0.0242,24.2,9.2,-6.69E-07,-1.40E-06,-1.04E-06,4.43E-07
0.0243,24.3,9.3,-6.94E-07,-1.44E-06,-1.07E-06,4.08E-07
0.0244,24.4,9.4,-6.98E-07,-1.47E-06,-1.09E-06,3.92E-07
0.0245,24.5,9.5,-7.00E-07,-1.50E-06,-1.10E-06,3.73E-07
0.0246,24.6,9.6,-6.89E-07,-1.54E-06,-1.12E-06,3.60E-07
0.0247,24.7,9.7,-6.72E-07,-1.59E-06,-1.14E-06,3.42E-07
0.0248,24.8,9.8,-6.66E-07,-1.64E-06,-1.15E-06,3.24E-07
0.0249,24.9,9.9,-6.80E-07,-1.67E-06,-1.18E-06,2.97E-07
0.025,25,10,-6.97E-07,-1.69E-06,-1.20E-06,2.79E-07
0.0251,25.1,10.1,-6.97E-07,-1.70E-06,-1.20E-06,2.76E-07
0.0252,25.2,10.2,-6.71E-07,-1.70E-06,-1.19E-06,2.90E-07
0.0253,25.3,10.3,-6.34E-07,-1.69E-06,-1.16E-06,3.13E-07
0.0254,25.4,10.4,-5.86E-07,-1.69E-06,-1.14E-06,3.38E-07
0.0255,25.5,10.5,-5.54E-07,-1.69E-06,-1.12E-06,3.53E-07
0.0256,25.6,10.6,-5.53E-07,-1.70E-06,-1.13E-06,3.47E-07
0.0257,25.7,10.7,-5.77E-07,-1.71E-06,-1.15E-06,3.30E-07
0.0258,25.8,10.8,-6.03E-07,-1.71E-06,-1.16E-06,3.20E-07
0.0259,25.9,10.9,-6.06E-07,-1.69E-06,-1.15E-06,3.26E-07
0.026,26,11,-6.04E-07,-1.68E-06,-1.14E-06,3.34E-07
0.0261,26.1,11.1,-6.21E-07,-1.67E-06,-1.15E-06,3.28E-07
0.0262,26.2,11.2,-6.49E-07,-1.67E-06,-1.16E-06,3.14E-07
0.0263,26.3,11.3,-6.83E-07,-1.67E-06,-1.18E-06,2.98E-07
0.0264,26.4,11.4,-7.09E-07,-1.67E-06,-1.19E-06,2.84E-07
0.0265,26.5,11.5,-7.25E-07,-1.69E-06,-1.21E-06,2.68E-07
0.0266,26.6,11.6,-7.20E-07,-1.72E-06,-1.22E-06,2.56E-07
0.0267,26.7,11.7,-7.06E-07,-1.74E-06,-1.23E-06,2.51E-07
0.0268,26.8,11.8,-6.95E-07,-1.74E-06,-1.22E-06,2.57E-07
0.0269,26.9,11.9,-6.82E-07,-1.74E-06,-1.22E-06,2.61E-07
0.027,27,12,-6.47E-07,-1.75E-06,-1.20E-06,2.74E-07
0.0271,27.1,12.1,-5.95E-07,-1.76E-06,-1.18E-06,2.96E-07
0.0272,27.2,12.2,-5.37E-07,-1.75E-06,-1.15E-06,3.32E-07
0.0273,27.3,12.3,-4.94E-07,-1.72E-06,-1.11E-06,3.67E-07
0.0274,27.4,12.4,-4.64E-07,-1.68E-06,-1.08E-06,4.01E-07
0.0275,27.5,12.5,-4.49E-07,-1.63E-06,-1.04E-06,4.33E-07
0.0276,27.6,12.6,-4.46E-07,-1.57E-06,-1.01E-06,4.64E-07
0.0277,27.7,12.7,-4.68E-07,-1.54E-06,-1.01E-06,4.70E-07
0.0278,27.8,12.8,-5.07E-07,-1.52E-06,-1.02E-06,4.60E-07
0.0279,27.9,12.9,-5.37E-07,-1.51E-06,-1.03E-06,4.51E-07
0.028,28,13,-5.58E-07,-1.48E-06,-1.02E-06,4.53E-07
0.0281,28.1,13.1,-5.78E-07,-1.46E-06,-1.02E-06,4.55E-07
0.0282,28.2,13.2,-6.17E-07,-1.45E-06,-1.04E-06,4.39E-07
0.0283,28.3,13.3,-6.39E-07,-1.45E-06,-1.05E-06,4.30E-07
0.0284,28.4,13.4,-6.41E-07,-1.43E-06,-1.04E-06,4.40E-07
0.0285,28.5,13.5,-6.24E-07,-1.39E-06,-1.01E-06,4.67E-07
0.0286,28.6,13.6,-6.10E-07,-1.37E-06,-9.91E-07,4.87E-07
0.0287,28.7,13.7,-6.00E-07,-1.36E-06,-9.84E-07,4.94E-07
0.0288,28.8,13.8,-5.90E-07,-1.37E-06,-9.85E-07,4.93E-07
0.0289,28.9,13.9,-5.69E-07,-1.39E-06,-9.81E-07,4.97E-07
0.029,29,14,-5.63E-07,-1.40E-06,-9.83E-07,4.95E-07
0.0291,29.1,14.1,-5.73E-07,-1.40E-06,-9.88E-07,4.89E-07
0.0292,29.2,14.2,-5.93E-07,-1.40E-06,-9.98E-07,4.79E-07
0.0293,29.3,14.3,-5.99E-07,-1.42E-06,-1.01E-06,4.67E-07
0.0294,29.4,14.4,-6.07E-07,-1.43E-06,-1.02E-06,4.54E-07
0.0295,29.5,14.5,-6.31E-07,-1.43E-06,-1.03E-06,4.46E-07
0.0296,29.6,14.6,-6.46E-07,-1.40E-06,-1.03E-06,4.52E-07
0.0297,29.7,14.7,-6.32E-07,-1.37E-06,-1.00E-06,4.73E-07
0.0298,29.8,14.8,-6.03E-07,-1.36E-06,-9.83E-07,4.94E-07
0.0299,29.9,14.9,-5.79E-07,-1.36E-06,-9.72E-07,5.05E-07
0.03,30,15,-5.60E-07,-1.37E-06,-9.67E-07,5.10E-07
0.0301,30.1,15.1,-5.56E-07,-1.37E-06,-9.65E-07,5.13E-07
0.0302,30.2,15.2,-5.64E-07,-1.36E-06,-9.64E-07,5.14E-07
0.0303,30.3,15.3,-5.85E-07,-1.35E-06,-9.70E-07,5.07E-07
0.0304,30.4,15.4,-6.01E-07,-1.36E-06,-9.82E-07,4.96E-07
0.0305,30.5,15.5,-6.23E-07,-1.37E-06,-9.98E-07,4.79E-07
0.0306,30.6,15.6,-6.43E-07,-1.39E-06,-1.02E-06,4.59E-07
0.0307,30.7,15.7,-6.59E-07,-1.40E-06,-1.03E-06,4.46E-07
0.0308,30.8,15.8,-6.57E-07,-1.40E-06,-1.03E-06,4.47E-07
0.0309,30.9,15.9,-6.64E-07,-1.38E-06,-1.03E-06,4.52E-07
0.031,31,16,-6.73E-07,-1.37E-06,-1.02E-06,4.53E-07
0.0311,31.1,16.1,-6.89E-07,-1.36E-06,-1.03E-06,4.52E-07
0.0312,31.2,16.2,-6.98E-07,-1.34E-06,-1.02E-06,4.59E-07
0.0313,31.3,16.3,-6.90E-07,-1.31E-06,-1.00E-06,4.76E-07
0.0314,31.4,16.4,-6.65E-07,-1.31E-06,-9.87E-07,4.90E-07
0.0315,31.5,16.5,-6.33E-07,-1.33E-06,-9.81E-07,4.97E-07
0.0316,31.6,16.6,-6.10E-07,-1.34E-06,-9.78E-07,4.99E-07
